2025-11-28 13:07:58 [INFO] ================= Menjalankan GEN_GEMMA_7B ============================
2025-11-28 13:07:58 [INFO]     - experiment_config: type=dict, size=3, preview={'id': 'GEN_GEMMA_7B', 'active': 'True', 'llm': "{'provider': 'ollama', 'model': 'gemma:7b-instruct', 'max_tokens':..."}
2025-11-28 13:07:58 [INFO] ✔ FAISS index loaded: outputsRetrieval/20251125_083908/SEM_E5_20251125_083908/faiss/index.faiss
2025-11-28 13:07:58 [INFO] ✔ Chunks from FAISS loaded: 97 chunks available
2025-11-28 13:07:59 [INFO] ✔ Dataset loaded from: dataset_evaluation/validation_20251124_101649.xlsx (items=30)
2025-11-28 13:07:59 [INFO] ✔ LLM setup -> provider: ollama, model: gemma:7b-instruct, endpoint: http://localhost:11434, mode: Ollama (local)
2025-11-28 13:07:59 [INFO] • Pre-encoding all chunks for diagnostics...
2025-11-28 13:08:16 [INFO] ✔ Pre-encoding done
2025-11-28 13:08:16 [INFO]     - chunk_embs_shape: type=tuple, size=2, preview=[97, 768]
2025-11-28 13:08:16 [INFO] Mulai proses 30 item...
2025-11-28 13:08:16 [INFO] Penjelasan: LOOP 1 = retrieval + diagnostics (tidak ada pemanggilan LLM).
2025-11-28 13:08:35 [INFO]     - question: type=str, size=57, preview=Apa yang dimaksud dengan desain...
2025-11-28 13:08:35 [INFO]     - groundtruth_answer: type=str, size=136, preview=Desain pengalaman pengguna berfokus pada...
2025-11-28 13:08:35 [INFO]     - groundtruth_context: type=str, size=3392, preview=Kompleksitas dan Persepsi Desain pengalaman...
2025-11-28 13:08:35 [INFO]     - faiss_top10: type=list, size=10, preview=['Kompleksitas dan Persepsi Desain pengalaman...', 'Pendekatan ini meningkatkan peluang keberhasilan...', 'UI design umumnya mengacu pada...']
2025-11-28 13:08:35 [INFO]     - retrieved_after_rerank: type=list, size=2, preview=['Kompleksitas dan Persepsi Desain pengalaman...', 'Pendekatan ini meningkatkan peluang keberhasilan...']
2025-11-28 13:08:35 [INFO]     - retrieved_ids: type=list, size=2, preview=[71, 72]
2025-11-28 13:08:36 [INFO]     - retrieved_embs: type=ndarray, size=(2, 768), preview=[0.006878691725432873, 0.05218082293868065, -0.010217273607850075]
2025-11-28 13:08:36 [INFO]     - gt_emb: type=ndarray, size=(768,), preview=[0.006878691725432873, 0.05218082293868065, -0.010217273607850075]
2025-11-28 13:08:36 [INFO]     - sims chunk grountruth vs chunk retrieved: type=list, size=2, preview=[1.0, 0.9337872862815857]
2025-11-28 13:08:36 [INFO]     - semantic_scores_current: type=list, size=2, preview=[1.0, 0.9337872862815857]
2025-11-28 13:08:56 [INFO]     - question: type=str, size=56, preview=Siapa yang disebut sebagai desainer...
2025-11-28 13:08:56 [INFO]     - groundtruth_answer: type=str, size=149, preview=Seorang desainer pengalaman pengguna adalah...
2025-11-28 13:08:56 [INFO]     - groundtruth_context: type=str, size=3392, preview=Kompleksitas dan Persepsi Desain pengalaman...
2025-11-28 13:08:56 [INFO]     - faiss_top10: type=list, size=10, preview=['Kompleksitas dan Persepsi Desain pengalaman...', 'Prototipe Wizard of Oz bermanfaat...', 'Pendekatan ini meningkatkan peluang keberhasilan...']
2025-11-28 13:08:56 [INFO]     - retrieved_after_rerank: type=list, size=2, preview=['Kompleksitas dan Persepsi Desain pengalaman...', 'Tokoh besar dalam bidang pengalaman...']
2025-11-28 13:08:56 [INFO]     - retrieved_ids: type=list, size=2, preview=[71, 76]
2025-11-28 13:08:56 [INFO]     - retrieved_embs: type=ndarray, size=(2, 768), preview=[0.006878691725432873, 0.05218082293868065, -0.010217273607850075]
2025-11-28 13:08:56 [INFO]     - gt_emb: type=ndarray, size=(768,), preview=[0.006878691725432873, 0.05218082293868065, -0.010217273607850075]
2025-11-28 13:08:56 [INFO]     - sims chunk grountruth vs chunk retrieved: type=list, size=2, preview=[1.0, 0.8765331506729126]
2025-11-28 13:08:56 [INFO]     - semantic_scores_current: type=list, size=2, preview=[1.0, 0.8765331506729126]
2025-11-28 13:09:16 [INFO]     - question: type=str, size=59, preview=Siapakah yang disebut sebagai desainer...
2025-11-28 13:09:16 [INFO]     - groundtruth_answer: type=str, size=141, preview=Desainer pengalaman pengguna adalah seseorang...
2025-11-28 13:09:16 [INFO]     - groundtruth_context: type=str, size=3392, preview=Kompleksitas dan Persepsi Desain pengalaman...
2025-11-28 13:09:16 [INFO]     - faiss_top10: type=list, size=10, preview=['Kompleksitas dan Persepsi Desain pengalaman...', 'Prototipe Wizard of Oz bermanfaat...', 'UI design umumnya mengacu pada...']
2025-11-28 13:09:16 [INFO]     - retrieved_after_rerank: type=list, size=2, preview=['Kompleksitas dan Persepsi Desain pengalaman...', 'Tokoh besar dalam bidang pengalaman...']
2025-11-28 13:09:16 [INFO]     - retrieved_ids: type=list, size=2, preview=[71, 76]
2025-11-28 13:09:17 [INFO]     - retrieved_embs: type=ndarray, size=(2, 768), preview=[0.006878691725432873, 0.05218082293868065, -0.010217273607850075]
2025-11-28 13:09:17 [INFO]     - gt_emb: type=ndarray, size=(768,), preview=[0.006878691725432873, 0.05218082293868065, -0.010217273607850075]
2025-11-28 13:09:17 [INFO]     - sims chunk grountruth vs chunk retrieved: type=list, size=2, preview=[1.0, 0.8765331506729126]
2025-11-28 13:09:17 [INFO]     - semantic_scores_current: type=list, size=2, preview=[1.0, 0.8765331506729126]
2025-11-28 13:09:38 [INFO]     - question: type=str, size=64, preview=Apa yang dilakukan desainer UX...
2025-11-28 13:09:38 [INFO]     - groundtruth_answer: type=str, size=241, preview=Desainer UX melakukan berbagai kegiatan,...
2025-11-28 13:09:38 [INFO]     - groundtruth_context: type=str, size=3414, preview=“Menjadi berpusat pada manusia memang...
2025-11-28 13:09:38 [INFO]     - faiss_top10: type=list, size=10, preview=['Pendekatan ini meningkatkan peluang keberhasilan...', 'Kompleksitas dan Persepsi Desain pengalaman...', '“Menjadi berpusat pada manusia memang...']
